date,gal_hour_model20T-1,gal_hour_model20T-2,gal_hour_model30T-1,gal_hour_model30T-2,gal_hour_model30T-3,gal_hour_model36T-1,gal_hour_model36T-2,gal_hour_model39T-1,gal_hour_model39T-2,gal_hour_model49T-1,hours_machine_model20T-1,hours_machine_model20T-2,hours_machine_model30T-1,hours_machine_model30T-2,hours_machine_model30T-3,hours_machine_model36T-1,hours_machine_model36T-2,hours_machine_model39T-1,hours_machine_model39T-2,hours_machine_model49T-1,idle_percentage_model20T-1,idle_percentage_model20T-2,idle_percentage_model30T-1,idle_percentage_model30T-2,idle_percentage_model30T-3,idle_percentage_model36T-1,idle_percentage_model36T-2,idle_percentage_model39T-1,idle_percentage_model39T-2,idle_percentage_model49T-1,operating_percentage_model20T-1,operating_percentage_model20T-2,operating_percentage_model30T-1,operating_percentage_model30T-2,operating_percentage_model30T-3,operating_percentage_model36T-1,operating_percentage_model36T-2,operating_percentage_model39T-1,operating_percentage_model39T-2,operating_percentage_model49T-1,total_fuel_model20T-1,total_fuel_model20T-2,total_fuel_model30T-1,total_fuel_model30T-2,total_fuel_model30T-3,total_fuel_model36T-1,total_fuel_model36T-2,total_fuel_model39T-1,total_fuel_model39T-2,total_fuel_model49T-1,coal_prod,waste_prod,haul_truck_15.0m3,haul_truck_24.0m3,haul_truck_25.0m3,haul_truck_27.0m3,truck_trips_15.0m3,truck_trips_24.0m3,truck_trips_25.0m3,truck_trips_27.0m3,rainfall_mm
2024-01-02,3.1257,3.209309957,0.0,0.0,0.0,0.0,8.7253,8.5,0.0,0.0,4.439,6.876,0.0,0.0,0.0,0.0,8.739,8.7,0.0,0.0,18.0,21.91341991,0.0,0.0,0.0,0.0,10.0,13.8,0.0,0.0,82.0,78.08658009,0.0,0.0,0.0,0.0,90.0,86.2,0.0,0.0,13.8751,22.06721526,0.0,0.0,0.0,0.0,76.2501,74.6,0.0,0.0,214.2,9987.0,12.0,2.0,1.0,2.0,384.0,68.0,39.0,60.0,1.0
2024-01-03,3.2748,2.8431,0.0,0.0,0.0,7.7665,8.4383,9.0,0.0,0.0,9.428,9.233,0.0,0.0,0.0,10.027,19.213,18.5,0.0,0.0,19.0,29.0,0.0,0.0,0.0,15.0,13.0,11.9,0.0,0.0,81.0,71.0,0.0,0.0,0.0,85.0,87.0,88.1,0.0,0.0,30.8748,26.25,0.0,0.0,0.0,77.875,162.125,167.3,0.0,0.0,459.0,16291.0,13.0,3.0,1.0,2.0,585.0,127.0,61.0,109.0,1.0
2024-01-04,3.2165,2.1894,0.0,0.0,0.0,7.7487,8.7987,8.7,0.0,0.0,9.599,20.325,0.0,0.0,0.0,17.874,18.568,18.7,0.0,0.0,15.0,23.0,0.0,0.0,0.0,13.0,11.0,13.9,0.0,0.0,85.0,77.0,0.0,0.0,0.0,87.0,89.0,86.1,0.0,0.0,30.8751,44.5,0.0,0.0,0.0,138.4998,163.3748,162.9,0.0,0.0,331.5,17980.0,13.0,3.0,1.0,2.0,577.0,186.0,67.0,118.0,1.0
2024-01-05,2.7588,3.7419,0.0,0.0,0.0,7.5986,8.6788,9.1,0.0,0.0,9.379,13.83,0.0,0.0,0.0,19.066,18.911,18.9,0.0,0.0,20.0,30.0,0.0,0.0,0.0,15.0,12.0,11.1,0.0,0.0,80.0,70.0,0.0,0.0,0.0,85.0,88.0,88.9,0.0,0.0,25.8751,51.75,0.0,0.0,0.0,144.8748,164.125,172.9,0.0,0.0,382.5,16399.0,13.0,3.0,1.0,2.0,552.0,173.0,55.0,96.0,1.0
2024-01-06,3.0262,2.7882,0.0,0.0,0.0,7.8726,8.9539,8.9,8.8,0.0,13.259,9.639,0.0,0.0,0.0,18.72,15.482,18.9,10.9,0.0,14.0,31.0,0.0,0.0,0.0,12.0,10.0,13.2,11.9,0.0,86.0,69.0,0.0,0.0,0.0,88.0,90.0,86.8,88.1,0.0,40.1251,26.875,0.0,0.0,0.0,147.375,138.6248,169.1,96.9,0.0,485.775,17468.0,13.0,3.0,1.0,4.0,563.0,183.0,47.0,128.0,1.0
2024-01-07,3.0065,2.9536,0.0,0.0,0.0,8.2781,8.8702,7.9,8.7,0.0,3.825,2.37,0.0,0.0,0.0,12.065,7.187,5.1,5.8,0.0,16.0,30.0,0.0,0.0,0.0,8.0,10.0,23.5,13.8,0.0,84.0,70.0,0.0,0.0,0.0,92.0,90.0,76.5,86.2,0.0,11.4999,7.0,0.0,0.0,0.0,99.875,63.75,41.3,51.2,0.0,102.0,2688.0,11.0,3.0,1.0,3.0,83.0,26.0,9.0,22.0,1.0
2024-01-08,3.171,3.0425,0.0,0.0,0.0,7.5974,10.0843,8.5,7.7,0.0,13.915,9.203,0.0,0.0,0.0,8.934,9.433,14.4,9.3,0.0,20.0,27.0,0.0,0.0,0.0,8.0,5.0,11.8,19.4,0.0,80.0,73.0,0.0,0.0,0.0,92.0,95.0,88.2,80.6,0.0,44.1249,27.9999,0.0,0.0,0.0,67.875,95.1249,122.9,72.6,0.0,510.0,18974.0,13.0,3.0,1.0,5.0,464.0,159.0,59.0,249.0,1.0
2024-01-09,3.0538,2.6107,0.0,0.0,0.0,8.2707,9.2461,8.0,7.2,0.0,10.274,9.241,0.0,0.0,0.0,16.504,9.477,16.4,11.1,0.0,25.0,29.0,0.0,0.0,0.0,7.0,9.0,15.9,26.1,0.0,75.0,71.0,0.0,0.0,0.0,93.0,91.0,84.1,73.9,0.0,31.3749,24.125,0.0,0.0,0.0,136.5,87.6251,131.8,79.7,0.0,382.5,18459.0,12.0,3.0,1.0,4.0,473.0,186.0,60.0,200.0,1.0
2024-01-10,3.1786,2.5847,0.0,0.0,0.0,8.2883,8.8254,8.6,7.4,0.0,13.41,8.318,0.0,0.0,0.0,24.04,12.11,14.1,18.3,0.0,23.0,31.0,0.0,0.0,0.0,14.0,10.0,10.6,20.8,0.0,77.0,69.0,0.0,0.0,0.0,86.0,90.0,89.4,79.2,0.0,42.6249,21.4999,0.0,0.0,0.0,199.2499,106.875,121.8,136.5,0.0,418.2,14627.0,16.0,2.0,1.0,5.0,386.0,92.0,47.0,202.0,1.0
2024-01-11,2.9777,2.7227,0.0,0.0,0.0,7.771,8.0925,8.2,6.9,0.0,15.532,12.855,0.0,0.0,0.0,12.064,14.118,14.7,16.7,0.0,25.0,31.0,0.0,0.0,0.0,14.0,17.0,15.6,26.9,0.0,75.0,69.0,0.0,0.0,0.0,86.0,83.0,84.4,73.1,0.0,46.2499,34.9999,0.0,0.0,0.0,93.7499,114.2499,121.3,116.5,0.0,564.825,16804.0,10.0,2.0,1.0,5.0,367.0,110.0,58.0,267.0,1.0
