,hours_machine,idle_percentage,operating_percentage,total_fuel,gal_hour,shovel,performance,coal_prod,waste_prod,haul_truck_15.0m3,haul_truck_24.0m3,haul_truck_25.0m3,haul_truck_27.0m3,truck_trips_15.0m3,truck_trips_24.0m3,truck_trips_25.0m3,truck_trips_27.0m3,rainfall_mm
0,8.384,23.34289056,83.82552531,81.262216286,8.071633492,JCB 390-10,225.3,223.751,4234.1,9,2,1,3,177.4,52,24,56.0,0.8
1,12.389,23.01737729,88.42345179,41.389283048,5.08809826,Hidromek 390-9,216.0,68.85,3989.5,5,3,0,3,65.1,75,0,33.2,0.0
2,9.391,5.0,95.0,98.375,10.4755,XCMG 336-8,304.1,291.55,6029.0,7,2,1,2,141.0,62,29,63.0,0.0
3,8.552,24.44593453,80.33537166,123.919239674,10.528706224,Hidromek 390-4,146.4,129.159,10728.1,8,0,0,3,401.1,98,32,182.0,18.3
4,9.619,5.1209917,79.83447564,87.200413849,9.611350843,Hidromek 390-9,196.3,138.832,4284.8,10,1,1,4,56.0,26,0,46.6,42.1
5,16.345,8.31836531,75.01931378,75.764523835,9.335256588,Sany 320-2,222.4,278.289,6638.8,7,1,1,6,155.5,98,39,254.6,0.0
6,11.659,17.88160832,92.57483197,116.993292649,2.223378176,LiuGong 349-6,219.7,181.728,8328.8,9,0,1,5,413.4,93,14,147.4,12.5
7,18.017,14.18316413,80.87724003,184.671114738,10.264002543,Hidromek 390-4,191.0,545.7,15436.0,9,1,1,6,457.0,39,67,150.2,30.0
8,17.515,12.59470646,95.3773227,38.083808546,10.833036573,Hidromek 390-4,308.7,232.717,9689.9,9,0,1,1,242.4,98,38,31.0,3.7
9,7.947,12.01664911,53.95464868,25.383628589,9.625867514,XCMG 336-8,334.6,90.215,8110.1,8,0,1,2,132.6,41,31,145.4,0.0
10,16.792,17.3447778,93.76995975,227.341680972,5.447620042,LiuGong 349-6,193.3,288.373,7874.5,9,0,1,4,56.0,94,46,31.0,2.9
11,7.342,3.71149218,73.90535794,28.661238168,4.596424843,XCMG 336-3,211.4,76.971,8794.5,4,1,0,3,138.6,38,52,31.0,2.6
12,19.221,17.35680751,82.64319249,190.3266308,9.902015023,LiuGong 349-6,221.8,545.7,13643.0,7,0,1,5,366.0,0,68,239.0,0.0
13,11.588,17.25443121,30.99507205,52.693912437,4.398104182,LiuGong 360-13,189.8,101.338,3162.0,7,2,1,3,95.9,87,23,91.2,2.6
14,9.212,13.0,87.0,34.0,3.6908,Sany 320-1,202.5,381.225,6367.0,9,2,1,2,209.0,56,28,44.0,0.3
15,3.355,14.20551368,73.40273412,12.89987519,12.213598248,Sany 320-1,222.5,119.405,8185.3,10,2,1,4,56.0,35,31,31.5,0.3
16,12.208,13.72730312,97.48832482,69.368898185,10.909181443,Hidromek 390-4,183.0,68.85,10800.5,4,0,1,5,252.9,40,57,31.0,1.4
17,8.337,43.12538487,96.18961797,63.116015218,12.146868454,Hidromek 390-4,202.7,68.85,6029.1,6,2,1,3,184.4,33,22,31.0,2.9
18,7.675,20.09808317,84.93854737,142.11843161,8.003610325,Hidromek 390-4,304.8,329.093,7479.6,10,1,1,5,172.4,0,52,255.9,0.0
19,10.291,13.22894792,81.98379889,232.46,12.593807842,LiuGong 349-6,191.9,68.85,8500.5,9,1,1,1,108.3,97,30,114.8,7.2
